...1,gene_id,moduleColor,GS.light,p.GS.light,baseMean,log2FoldChange,padj,product,gene,EC_number
NC_007677.1_WP_011404841.1,NC_007677.1_WP_011404841.1,blue,0.327277008215249,0.215958959600862,8050.609594551784,0.32225142943444224,0.04055294604009634,hypothetical protein,NA,NA
NC_007677.1_WP_011405166.1,NC_007677.1_WP_011405166.1,turquoise,-0.772216252865594,4.5577158361738e-4,130664.26731929557,-0.5869550267068947,2.8004810406774306e-4,cold shock domain-containing protein,NA,NA
NC_007677.1_WP_237701679.1,NC_007677.1_WP_237701679.1,turquoise,-0.759067956281776,6.4986530142195e-4,563.1119685311595,-0.3767954921649995,0.0014551330983296454,DUF4147 domain-containing protein,NA,NA
NC_007677.1_WP_081580696.1,NC_007677.1_WP_081580696.1,turquoise,-0.780289523595909,3.6236395316199e-4,61077.30515469557,-1.2304145021437498,1.2352168303044898e-12,acyl-CoA dehydrogenase family protein,NA,NA
NC_007677.1_WP_011404683.1,NC_007677.1_WP_011404683.1,blue,0.610224728239502,0.0120619769982471,7166.6450544407935,0.29647412116396615,0.0010195083032391117,GH3 auxin-responsive promoter family protein,NA,NA
NC_007677.1_WP_237702038.1,NC_007677.1_WP_237702038.1,turquoise,-0.936253880378858,9.68042857817896e-8,748.7723980446067,-0.38536385156107966,2.9080708854235765e-7,lamin tail domain-containing protein,NA,NA
NC_007677.1_WP_164923542.1,NC_007677.1_WP_164923542.1,blue,0.518534404533176,0.03960283521533,10314.53274379592,0.15135288926035553,0.018220210271950043,acetyl-CoA carboxylase biotin carboxylase subunit,accC,6.3.4.14
NC_007677.1_WP_272481480.1,NC_007677.1_WP_272481480.1,pink,-0.554043039128409,0.0259545738172724,35351.49764860045,-0.8741296882898482,0.06109726190873252,catalase/peroxidase HPI,katG,1.11.1.21
NC_007677.1_WP_112902941.1,NC_007677.1_WP_112902941.1,red,-0.0696070019297234,0.797833081202781,65683.28315784765,-0.060590526751282514,0.6193265299095134,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,NA,1.17.4.1
NC_007677.1_WP_011404819.1,NC_007677.1_WP_011404819.1,yellow,-0.059380935268521,0.827080054373832,4437.241133970959,-0.137147312185005,0.21815116489847283,cold shock domain-containing protein,NA,NA
NC_007677.1_WP_237701932.1,NC_007677.1_WP_237701932.1,greenyellow,-0.28634618210585,0.282288514854088,1219.1085007163688,-0.05369645988023889,0.7510383935116459,universal stress protein,NA,NA
NC_007677.1_WP_011404227.1,NC_007677.1_WP_011404227.1,turquoise,-0.805364436293743,1.6668553239675e-4,142032.89083327283,-0.6355922248021447,5.543812268460012e-9,aconitate hydratase,NA,4.2.1.3
NC_007677.1_WP_011404501.1,NC_007677.1_WP_011404501.1,blue,0.298804273428127,0.260932457268603,105409.68175152733,0.3887850765760174,0.00294069807234804,DNA-directed RNA polymerase subunit beta',rpoC,2.7.7.6
NC_007677.1_WP_011402867.1,NC_007677.1_WP_011402867.1,red,-0.522813559278504,0.037720786267886,48670.14776619679,-0.307423214317779,0.09634309080601484,porin family protein,NA,NA
NC_007677.1_WP_164923531.1,NC_007677.1_WP_164923531.1,grey,-0.246018217558054,0.35836983949388,1115.9770089764943,-0.11580847834343617,0.4541804866371892,uracil-DNA glycosylase,NA,NA
NC_007677.1_WP_011403641.1,NC_007677.1_WP_011403641.1,yellow,-0.125588768407901,0.643043609620896,5015.912578170991,-0.08456032918526366,0.49349147638607316,TRAP transporter substrate-binding protein,NA,NA
NC_007677.1_WP_013062282.1,NC_007677.1_WP_013062282.1,green,0.376718583044024,0.150357607527972,2571.819990817487,0.3385088042849307,0.007899230354137499,cysteine desulfurase family protein,NA,NA
NC_007677.1_WP_112904139.1,NC_007677.1_WP_112904139.1,pink,-0.546337139133445,0.0285524854907677,10719.965839622817,-0.16434498815296983,0.12930646708086102,methylmalonyl-CoA mutase family protein,NA,NA
NC_007677.1_WP_237701706.1,NC_007677.1_WP_237701706.1,grey,-0.319459120327478,0.227777018521575,2701.2649461733918,-0.06883521577829917,0.4769171519385865,tetratricopeptide repeat protein,NA,NA
NC_007677.1_WP_112904305.1,NC_007677.1_WP_112904305.1,brown,0.443034547613247,0.085675838263428,18520.69269889413,0.11107895580318392,0.3230674344920042,endonuclease,NA,NA
NC_007677.1_WP_011404272.1,NC_007677.1_WP_011404272.1,turquoise,-0.692773053190583,0.00293088990915921,2043.5727393903135,-0.0823721969368951,0.2627411437401293,NRDE family protein,NA,NA
NC_007677.1_WP_231847132.1,NC_007677.1_WP_231847132.1,brown,0.81436360704373,1.2276764652477e-4,131339.24736893308,0.23453005501213578,0.002908268300972535,RagB/SusD family nutrient uptake outer membrane protein,NA,NA
NC_007677.1_WP_011404217.1,NC_007677.1_WP_011404217.1,green,0.135316495096307,0.617308671028682,7540.600659265254,0.7814219401017796,0.023284863378593836,carbohydrate ABC transporter permease,NA,NA
NC_007677.1_WP_237701776.1,NC_007677.1_WP_237701776.1,brown,0.701521056266849,0.00245758036704735,613.8648481202968,0.2399358262489816,0.030386101169531478,hypothetical protein,NA,NA
NC_007677.1_WP_013062895.1,NC_007677.1_WP_013062895.1,tan,0.288760439214502,0.278070148311215,677.5872000657606,0.027731487083913688,0.83364376049572,glycogen-binding domain-containing protein,NA,NA
NC_007677.1_WP_011404908.1,NC_007677.1_WP_011404908.1,brown,0.641224543916117,0.00742854093685039,246852.97070727887,0.12244984082777977,0.15372484493248975,SusC/RagA family TonB-linked outer membrane protein,NA,NA
NC_007677.1_WP_011404432.1,NC_007677.1_WP_011404432.1,blue,0.172205517542166,0.523643843344117,2431.719368844039,0.1738998237628483,0.1098807026847129,alkene reductase,NA,NA
NC_007677.1_WP_011404485.1,NC_007677.1_WP_011404485.1,turquoise,-0.808250607850972,1.5137178145726e-4,11219.188193077745,-0.4951574334305355,5.420465290055417e-8,ferrochelatase,hemH,4.98.1.1
NC_007677.1_WP_011405055.1,NC_007677.1_WP_011405055.1,blue,0.0228846113494272,0.93295843386904,8225.638894671774,0.10355152063381724,0.4259335943445547,glycine--tRNA ligase,NA,6.1.1.14
NC_007677.1_WP_011404758.1,NC_007677.1_WP_011404758.1,brown,0.69604258924429,0.00274607378277647,319.1041669386055,0.4471197175148226,1.6560179970577112e-4,cation transporter,NA,NA
NC_007677.1_WP_118828824.1,NC_007677.1_WP_118828824.1,turquoise,-0.685658895350333,0.00336781856690793,5559.989217781145,-0.1857939402091173,0.016569657124402237,PD40 domain-containing protein,NA,NA
NC_007677.1_WP_011404519.1,NC_007677.1_WP_011404519.1,grey,-0.257632605613536,0.335380742672527,41237.59224972545,-0.01912353170719784,0.8692684425594311,translation initiation factor IF-2,infB,NA
NC_007677.1_WP_011403893.1,NC_007677.1_WP_011403893.1,turquoise,-0.657379327194769,0.00565200733042294,30447.44740746502,-0.5656910665248945,2.1754456197710566e-4,adenosylhomocysteinase,NA,3.13.2.1
NC_007677.1_WP_103017578.1,NC_007677.1_WP_103017578.1,turquoise,-0.816065091598865,1.1566049455716e-4,1201.1886390647855,-0.3520984577012391,0.0017125984434850242,gluconate 2-dehydrogenase subunit 3 family protein,NA,NA
NC_007677.1_WP_011404441.1,NC_007677.1_WP_011404441.1,red,-0.32686414960337,0.216573057987746,2957.364352567905,-0.048387939732945376,0.7355100384682146,monovalent cation/H(+) antiporter subunit G,mnhG,NA
NC_007677.1_WP_011404834.1,NC_007677.1_WP_011404834.1,turquoise,-0.618704512526655,0.0106154589151052,64226.713995454884,-0.11583369429450158,0.12071009732337802,4Fe-4S dicluster domain-containing protein,NA,NA
NC_007677.1_WP_164923532.1,NC_007677.1_WP_164923532.1,turquoise,-0.794762817599853,2.3442511955999e-4,4267.572140874934,-0.2273365421371044,0.006322038442151904,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,rsmB,2.1.1.176
NC_007677.1_WP_164923586.1,NC_007677.1_WP_164923586.1,green,0.0254660702486237,0.925414536475715,789.9752327554695,0.0559087507424631,0.7284450029293003,hypothetical protein,NA,NA
NC_007677.1_WP_013062307.1,NC_007677.1_WP_013062307.1,black,0.549208501821141,0.0275622577372237,5532.821166914997,0.1915386023453367,0.05655347238324559,M1 family metallopeptidase,NA,NA
NC_007677.1_WP_011403181.1,NC_007677.1_WP_011403181.1,blue,0.334145223736087,0.205906176949002,10666.286318296687,0.1108496714565963,0.1617405818799156,"NAD+ synthase",NA,6.3.5.1
NC_007677.1_WP_118825819.1,NC_007677.1_WP_118825819.1,blue,0.467799062610095,0.0676595056382733,24603.491697541132,0.6165570063279315,0.006785190212551679,30S ribosomal protein S2,rpsB,NA
NC_007677.1_WP_011403927.1,NC_007677.1_WP_011403927.1,turquoise,-0.698432984859599,0.0026170078076851,53440.998750442806,-0.4543963126508193,6.934068342691705e-4,multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit,NA,4.1.1.71
NC_007677.1_WP_011404504.1,NC_007677.1_WP_011404504.1,blue,0.580819226647922,0.0183104774683364,12043.734571220031,0.7190072807465351,1.750284187939615e-4,50S ribosomal protein L10,rplJ,NA
NC_007677.1_WP_011403186.1,NC_007677.1_WP_011403186.1,brown,0.735969851517849,0.00115312145517634,2126.4995937379767,0.1317308013948158,0.06892937509459664,"L,D-transpeptidase",NA,NA
NC_007677.1_WP_013062500.1,NC_007677.1_WP_013062500.1,turquoise,-0.610338469998373,0.0120416022716439,19469.84803692575,-0.15388833602856106,0.08002068638881932,Glu/Leu/Phe/Val dehydrogenase,NA,NA
NC_007677.1_WP_164923499.1,NC_007677.1_WP_164923499.1,blue,0.542486404796331,0.0299228219586011,3240.6827323780853,0.3909161306379583,0.001293270695787255,efflux RND transporter permease subunit,NA,NA
NC_007677.1_WP_011403276.1,NC_007677.1_WP_011403276.1,turquoise,-0.588252120998219,0.0165358620530564,4805.893466290223,-0.21194095024041823,0.017802805648665737,DNA polymerase III subunit delta,holA,2.7.7.7
NC_007677.1_WP_011404169.1,NC_007677.1_WP_011404169.1,red,-0.438391155977422,0.089402950802281,11223.29731277786,-0.09004803373304116,0.5137450294362276,50S ribosomal protein L27,rpmA,NA
NC_007677.1_WP_013062207.1,NC_007677.1_WP_013062207.1,blue,0.457584356615784,0.0747192502459582,11913.668842040302,0.42460407486732243,0.016007637626964645,50S ribosomal protein L11,rplK,NA
NC_007677.1_WP_011404234.1,NC_007677.1_WP_011404234.1,green,0.107919024985196,0.690759345432303,3595.582302893486,0.007661385190851357,0.9350321907670854,DNA topoisomerase IV subunit B,NA,NA
NC_007677.1_WP_011404398.1,NC_007677.1_WP_011404398.1,blue,0.107406830630957,0.69215993037281,9999.469565901882,0.13769496570154818,0.1684011053626347,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,queA,2.4.99.17
NC_007677.1_WP_164923676.1,NC_007677.1_WP_164923676.1,yellow,-0.241853969686958,0.366821264233713,4854.97949756018,-0.9577751722266922,0.019742048323655986,chemotaxis protein CheA,NA,NA
